FlexSite	UnitCode	Description	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
AL11	142	BASIC METABOLIC PANEL	0	0	0	0	0	0	0	1	0	0	0	0
AL11	923	STAT HANDLING FEE	0	1	2	2	0	1	5	1	1	1	1	0
AL11	992	COURIER SERVICE CHARGE	0	0	0	0	0	0	0	2	1	1	1	0
AL11	1000	CBC W/AUTO DIFF WITH PLATELETS	0	0	0	0	0	0	0	1	0	0	0	0
AL11	1055	SEDIMENTATION RATE	0	0	0	0	0	0	0	1	0	0	0	0
AL11	3545	C-REACTIVE PROTEIN	0	0	0	0	0	0	0	1	0	0	0	0
AL11	3890	REFERRED PROBNP	0	0	0	0	0	0	0	1	0	0	0	0
AL11	5138	REFERRED BASIC METABOLIC PROFILE	0	0	0	0	0	0	0	1	0	0	0	0
AL11	5165	REFERRED COMPREHENSIVE METABOLIC PROFILE	0	0	0	0	0	0	1	0	0	0	0	0
AL11	5171	REFERRED CARBAMAZEPINE	0	0	0	0	0	0	0	0	0	1	0	0
AL11	5173	REFERRED LITHIUM	0	1	0	0	0	1	4	1	1	0	0	0
AL11	5175	REFERRED PHENYTOIN	0	0	1	0	0	0	1	0	0	0	0	0
AL11	5179	REFERRED VALPROIC ACID	0	2	1	2	0	0	2	0	1	1	1	0
AL11	5232	REFERRED VANCOMYCIN, TROUGH	0	0	0	0	0	0	0	1	0	0	0	0
AL2	119	THYROID II PROFILE (T3U, T4, T7, TSH)	0	0	0	0	0	0	0	0	0	0	1	1
AL2	142	BASIC METABOLIC PANEL	10	5	8	4	9	7	4	6	4	1	0	6
AL2	173	LIPID PANEL	3	3	1	1	3	0	2	0	2	3	1	1
AL2	394	GLUCOSE, BASELINE AND 1 HR, GESTATIONAL SCREEN, 50 GM LOAD	22	11	14	12	15	16	15	18	19	12	15	23
AL2	919	PHLEBOTOMY FEE, NON-CPL PATIENT	0	0	0	0	0	0	0	0	0	1	0	1
AL2	920	PHLEBOTOMY FEE - SINGLE	127	112	124	98	113	114	101	125	123	98	90	92
AL2	923	STAT HANDLING FEE	2	3	3	3	5	2	11	6	1	4	3	2
AL2	992	COURIER SERVICE CHARGE	0	0	0	0	0	0	0	6	2	4	3	3
AL2	996	STANDING ORDER	27	33	28	32	29	28	30	29	17	33	17	19
AL2	1000	CBC W/AUTO DIFF WITH PLATELETS	49	42	37	34	51	30	34	46	58	33	32	39
AL2	1011	CBC WITH ABSOLUTE NEUTROPHIL COUNT	1	4	0	2	5	0	6	5	1	2	2	2
AL2	1022	PATHOLOGIST SMEAR REVIEW	0	0	0	1	0	0	0	0	0	0	0	0
AL2	1025	HEMOGLOBIN	0	0	0	2	0	0	0	0	0	0	0	0
AL2	1030	HEMATOCRIT	0	0	0	2	0	0	0	0	0	0	0	0
AL2	1035	HEMOGLOBIN AND HEMATOCRIT	1	2	0	0	0	0	0	0	1	0	0	0
AL2	1041	CBC W/O DIFF, WITH PLATELETS	1	0	0	0	0	0	0	0	0	0	0	1
AL2	1055	SEDIMENTATION RATE	0	0	1	1	0	0	0	2	0	1	0	0
AL2	1425	PROTHROMBIN TIME (PT)	68	72	59	57	53	70	63	80	71	62	41	43
AL2	1430	PTT	1	0	1	0	1	0	2	1	0	0	0	1
AL2	1435	D-DIMER	0	0	0	0	0	0	0	0	0	0	0	1
AL2	1500	MANUAL MICROSCOPIC REFLEX	7	7	7	4	4	10	9	5	5	0	0	4
AL2	1501	URINALYSIS W/REFLEX MICRO	8	10	9	6	6	9	9	6	6	1	1	5
AL2	1502	 ICTO REFLEX	0	1	0	0	0	1	0	1	0	0	0	0
AL2	1505	URINALYSIS WITH MICROSCOPIC	0	0	0	0	1	0	1	0	0	0	0	0
AL2	1540	PREGNANCY TEST, URINE	0	1	4	1	2	1	3	0	1	3	1	1
AL2	2025	AMYLASE	4	1	1	0	2	0	1	4	2	1	0	2
AL2	2036	BILIRUBIN, DIRECT	0	0	0	0	0	0	0	1	0	0	0	0
AL2	2056	GLUCOSE, FASTING	0	0	1	0	1	0	0	0	1	0	0	0
AL2	2074	CKMB IMMUNOCHEMICAL ASSAY	1	0	0	0	0	0	0	0	0	0	0	0
AL2	2075	CK, TOTAL	0	0	1	0	0	1	1	0	0	1	1	0
AL2	2079	CREATININE CLEARANCE, 24 HR	0	0	0	0	0	0	0	0	0	0	1	0
AL2	2090	FERRITIN	0	0	0	0	0	0	0	0	0	1	0	0
AL2	2106	GLUCOSE 1 HR POST 50 GM	0	0	0	1	0	0	0	1	0	2	1	0
AL2	2111	GLUCOSE TOLERANCE, 3 HR, GESTATIONAL, DIAGNOSTIC, 100 GM LOAD	6	3	2	3	3	2	5	5	6	4	5	3
AL2	2124	LIPASE	4	1	1	0	2	0	1	4	3	1	0	2
AL2	2130	MAGNESIUM	0	2	1	1	0	1	0	0	0	0	0	0
AL2	2149	PROTEIN, 24 HOUR URINE	0	0	0	0	0	0	0	0	1	0	1	0
AL2	2208	BUN	0	0	0	0	0	0	0	0	1	0	0	0
AL2	2209	CALCIUM	0	0	0	0	0	1	0	0	0	0	0	1
AL2	2214	CREATININE	0	0	0	0	0	1	0	0	1	0	0	0
AL2	2227	PHOSPHORUS	0	2	1	1	0	0	0	0	0	0	0	0
AL2	2228	POTASSIUM	0	0	0	0	0	1	0	0	0	0	1	0
AL2	2233	URIC ACID	0	0	0	0	0	1	0	1	1	0	0	0
AL2	2292	GLUCOSE TOLERANCE, FASTING, 1 HR, 2 HR, 75 GM LOAD	0	0	0	0	0	0	1	0	0	0	1	0
AL2	2452	HT COMP. PAIN MANAGEMENT SCR/RFLX	0	0	0	0	0	0	0	0	0	0	1	1
AL2	2606	PSA, TOTAL	1	0	0	0	0	1	0	1	0	0	0	1
AL2	2608	PSA, TOTAL, MEDICARE SCREEN	0	0	0	0	0	1	0	0	0	0	0	0
AL2	2625	AFP, TUMOR MARKER	0	0	0	0	0	0	1	0	0	0	0	0
AL2	2645	CEA	0	0	0	0	0	0	0	0	0	0	0	1
AL2	2675	ESTRADIOL	0	0	1	0	0	0	0	0	1	1	1	0
AL2	2700	FOLLICLE STIM HORMONE	0	0	1	0	0	0	0	0	0	1	0	0
AL2	2708	HEMOGLOBIN A1c	0	1	0	1	3	1	1	0	1	2	1	1
AL2	2709	HEMOGLOBIN A1c WITH EAG	1	0	0	0	0	0	1	0	0	0	0	0
AL2	2714	HCG, QUALITATIVE	1	1	2	0	0	0	3	0	2	1	3	3
AL2	2719	REGIONAL HCG, QUANTITATIVE	28	20	44	22	26	24	13	13	16	18	20	13
AL2	2727	HEPATITIS A IgM	0	0	0	2	0	1	0	1	0	1	3	1
AL2	2739	HEPATITIS B SURF AG	0	0	0	2	0	1	0	1	0	1	3	1
AL2	2760	INSULIN	0	0	1	0	0	0	0	0	0	0	0	0
AL2	2776	LUTEINIZING HORMONE 	0	0	1	0	0	0	0	0	0	0	0	0
AL2	2790	PROGESTERONE	3	0	1	1	0	0	0	0	1	1	0	1
AL2	2800	PROLACTIN	1	0	1	0	0	0	0	0	0	0	0	0
AL2	2814	INTACT PTH	0	0	1	0	0	0	0	0	0	0	0	0
AL2	2818	T3 TOTAL	0	0	0	0	1	0	0	0	0	0	0	0
AL2	2819	T4 (THYROXINE)	0	0	0	0	1	0	0	0	0	1	0	0
AL2	2823	FREE T4 (THYROXINE)	0	0	0	0	0	2	2	0	0	0	0	0
AL2	2830	TESTOSTERONE	0	0	0	0	0	0	0	0	0	1	0	0
AL2	2835	TSH	3	3	2	2	5	3	3	0	1	1	1	3
AL2	2840	VITAMIN B-12	0	0	0	0	0	0	1	0	0	1	0	0
AL2	3034	DIGOXIN	1	0	0	0	0	0	0	0	0	0	0	0
AL2	3064	PHENYTOIN (DILANTIN)	0	1	0	0	0	0	0	0	0	0	0	0
AL2	3097	VANCOMYCIN	0	0	0	0	0	0	0	1	0	0	0	0
AL2	3103	VANCOMYCIN, TROUGH	0	0	0	0	0	1	0	1	0	0	0	0
AL2	3121	MYCOPLASMA PNEUMONIAE IgM	0	0	0	0	0	0	0	0	0	0	1	0
AL2	3500	RPR	20	11	13	10	15	9	13	14	17	12	15	21
AL2	3503	RPR REFLEX TO TP-PA	1	0	0	2	0	1	0	1	1	1	4	2
AL2	3521	SICKLE CELL RFLX ELECT	0	0	0	0	0	1	0	0	1	0	3	1
AL2	3540	HIV 1/2 4TH GEN, RFLX CONF	0	0	0	2	0	1	0	1	2	1	4	2
AL2	3545	C-REACTIVE PROTEIN	0	0	1	0	1	0	0	2	1	1	1	1
AL2	3800	BLOOD GROUP (ABO) AND RH TYPE	0	0	0	2	0	1	0	2	1	1	4	2
AL2	3810	ANTIBODY SCREEN	0	0	0	2	0	1	0	1	1	1	4	2
AL2	3910	TRICHOMONAS, SIMPLESWAB	0	0	0	0	0	0	0	0	1	0	1	1
AL2	3913	TRICHOMONAS, URINE, AMP	0	0	0	1	0	0	0	0	0	0	1	1
AL2	3914	CANDIDA, SIMPLESWAB, PCR	0	0	0	0	0	0	0	0	1	0	1	1
AL2	3920	BACTERIAL VAGINOSIS, SIMPLESWAB, PCR	0	0	0	0	0	0	0	0	1	0	1	1
AL2	4045	CMV BY PCR, QUAL/QUANT, WHOLE BLOOD	0	0	0	0	0	0	0	1	0	0	0	0
AL2	4225	DHEA SULFATE	0	0	1	0	0	0	0	0	0	0	0	0
AL2	4272	TACROLIMUS	0	0	0	0	0	0	0	1	0	0	0	0
AL2	4273	FREE T3	0	0	0	0	0	1	1	0	0	1	0	0
AL2	4274	ULTRASENSITIVE TSH	0	0	0	0	0	0	0	0	1	0	1	1
AL2	4304	17-HYDROXYPROGESTERONE	0	0	1	0	0	0	0	0	0	0	0	0
AL2	4335	CT/NG, TMA, URINE	0	0	0	1	0	0	0	0	0	0	1	1
AL2	4513	THYROID PEROXIDASE AB	0	0	0	0	0	0	0	0	0	1	0	0
AL2	4600	RUBELLA ANTIBODY SCREEN	0	0	0	2	0	1	0	1	1	1	4	2
AL2	4642	EPSTEIN-BARR VCA IgG/IgM	0	0	0	0	0	0	0	0	0	0	1	0
AL2	4644	HEPATITIS B CORE IgM	0	0	0	2	0	1	0	1	0	1	3	1
AL2	4675	HEPATITIS C ANTIBODY	0	0	0	2	0	1	0	1	0	1	3	1
AL2	4833	CELIAC DISEASE PANEL	0	0	0	0	0	0	0	0	0	0	0	1
AL2	4891	MICROALBUMIN, RANDOM	0	1	0	0	0	0	0	0	0	0	0	0
AL2	4909	PREALBUMIN	0	1	1	1	0	0	0	0	0	0	0	0
AL2	4937	TESTOSTERONE, FREE/TOTAL WITH SHBG	1	0	1	0	0	0	0	0	1	0	0	0
AL2	4958	VITAMIN D, 25 OH	0	0	1	0	1	0	0	1	0	1	2	0
AL2	4976	CANCER ANTIGEN 19-9	0	0	0	0	0	0	0	1	0	0	0	0
AL2	5179	REFERRED VALPROIC ACID	0	0	0	0	0	0	0	1	0	0	0	0
AL2	5249	CT/NG, TMA, SIMPLESWAB	0	0	0	0	0	0	0	0	1	0	1	1
AL2	5585	B NATRIURETIC PEPTIDE	1	0	0	0	0	1	0	1	1	0	0	1
AL2	5681	BILE ACIDS, FRACTIONATED AND TOTAL	0	0	0	1	0	0	0	0	0	0	0	0
AL2	5950	 TROPONIN I	0	0	1	0	0	0	0	0	0	0	0	0
AL2	6041	UA, MICROSCOPIC, REFLEX TO CULTURE	0	0	0	2	0	1	0	1	1	1	4	2
AL2	6049	CULTURE, URINE	5	8	8	3	2	8	6	2	3	1	1	4
AL2	6051	URINALYSIS (CULTURE IF INDICATED)	1	0	0	0	0	2	1	0	0	1	1	0
AL2	6089	CULTURE, URINE/SENSITIVITY ON ALL	0	0	0	0	0	0	0	0	0	0	1	0
AL2	7505	QUANTIFERON TB GOLD	0	0	0	1	0	0	0	0	0	0	0	0
AL2	9175	HEPATIC FUNCTION PANEL	1	1	1	0	0	0	0	0	0	0	0	1
AL2	9179	COMPREHENSIVE METABOLIC PANEL	24	31	21	19	22	16	26	27	24	16	13	9
AL2	9180	COMPREHENSIVE METABOLIC PANEL + e-GFR	0	0	0	0	0	0	0	0	0	0	0	1
AL2	9324	RENAL FUNCTION PANEL	0	1	1	1	0	0	0	0	0	0	0	0
AL2	9325	HEPATITIS PANEL, ACUTE	0	0	0	0	0	0	0	0	2	0	1	1
AL2	9504	SIQ CHEM CL	0	0	0	0	0	0	0	1	0	0	0	0
AL2	9506	SIQ CHEM MISC.	1	0	1	0	0	0	0	0	0	0	0	0
AL2	9515	SIQ SPECCHEM MISC.	0	0	0	0	0	0	0	0	0	0	2	0
AL2	9525	SIQ DAYCHEM CL	0	0	0	0	0	0	0	0	0	0	1	0
AL2	9944	EXTRA LAVENDER	0	0	0	0	0	1	0	0	0	0	0	0
AU14	600	WILD 1	0	0	0	0	0	0	0	0	0	0	0	1
AU14	601	WILD 2	0	0	0	0	0	0	0	0	0	0	0	1
AU14	920	PHLEBOTOMY FEE - SINGLE	0	0	0	0	0	0	0	0	0	0	0	1
AU14	5050	REFERRED HCG, QUANTITATIVE	0	0	0	0	0	0	0	0	0	0	0	1
AU14	5064	REFERRED PROTIME	0	0	0	0	1	0	0	0	0	0	0	0
AU14	5125	REFERRED CBC	0	0	0	0	0	0	1	0	0	0	0	0
AU14	5126	REFERRED RETICULOCYTE COUNT	0	0	0	0	0	0	1	0	0	0	0	0
AU14	5157	REFERRED BILIRUBIN, TOTAL	0	0	0	0	0	0	0	0	0	1	0	0
AU14	5158	REFERRED BILIRUBIN, DIRECT	0	0	0	0	0	0	0	0	0	1	0	0
AU14	5165	REFERRED COMPREHENSIVE METABOLIC PROFILE	0	0	0	0	0	0	1	0	0	0	0	0
AU14	5173	REFERRED LITHIUM	0	0	0	0	0	0	1	0	0	0	0	0
AU14	5178	REFERRED VANCOMYCIN	1	0	0	0	0	0	0	0	0	0	0	0
AU14	5183	REFERRED GRAM STAIN	2	0	0	0	0	0	0	0	0	0	0	0
